"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "CSS", "SVG", "JavaScript JSX", "HTML", "comment", "blank", "total"
"d:\WEB Projects\chessverse\client\src\models\localizations\english.ts", "TypeScript", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"d:\WEB Projects\chessverse\client\src\models\localizations\french.ts", "TypeScript", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"d:\WEB Projects\chessverse\client\src\models\localizations\german.ts", "TypeScript", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"d:\WEB Projects\chessverse\client\src\models\localizations\russian.ts", "TypeScript", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"d:\WEB Projects\chessverse\client\src\models\localizations\spanish.ts", "TypeScript", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"d:\WEB Projects\chessverse\client\src\models\localizations\ukrainian.ts", "TypeScript", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, -2
"d:\WEB Projects\chessverse\client\src\models\puzzles.ts", "TypeScript", 0, 0, 0, -164, 0, 0, 0, 0, 0, 0, -3, -167
"d:\WEB Projects\chessverse\client\src\models\settings.ts", "TypeScript", 0, 0, 0, -16, 0, 0, 0, 0, 0, 0, -3, -19
"d:\WEB Projects\chessverse\client\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"d:\WEB Projects\chessverse\client\src\reportWebVitals.ts", "TypeScript", 0, 0, 0, -13, 0, 0, 0, 0, 0, 0, -3, -16
"d:\WEB Projects\chessverse\client\src\setupTests.ts", "TypeScript", 0, 0, 0, -1, 0, 0, 0, 0, 0, -4, -1, -6
"d:\WEB Projects\chessverse\client\tsconfig.json", "JSON with Comments", 0, 0, -26, 0, 0, 0, 0, 0, 0, 0, -1, -27
"d:\WEB Projects\chessverse\server\config\whiteList.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\WEB Projects\chessverse\server\controllers\usersController.js", "JavaScript", 192, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 203
"d:\WEB Projects\chessverse\server\middleware\mailer.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"d:\WEB Projects\chessverse\server\middleware\registerGameResult.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"d:\WEB Projects\chessverse\server\middleware\verifyJWT.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\WEB Projects\chessverse\server\model\User.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"d:\WEB Projects\chessverse\server\model\user.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\WEB Projects\chessverse\server\package-lock.json", "JSON", 0, 2233, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2234
"d:\WEB Projects\chessverse\server\package.json", "JSON", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"d:\WEB Projects\chessverse\server\routes\imagesdb.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12
"d:\WEB Projects\chessverse\server\routes\users.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 42
"d:\WEB Projects\chessverse\server\server.js", "JavaScript", 110, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 123
"Total", "-", 434, -14415, -26, -1887, -3466, -1759, -26, -39, -14, -259, -403, -21860
